target,zbin,ptlow,pthigh,mr,err
0,4,0.02,0.03079896,0.7981742620468141,0.010394047014415264
0,4,0.03079896,0.04742881,0.8042857646942139,0.007796968799084425
0,4,0.04742881,0.07303792,0.8160533308982849,0.0064309765584766865
0,4,0.07303792,0.11247461,0.8006809949874878,0.005261955317109822
0,4,0.11247461,0.17320508,0.8232506513595581,0.004639832302927971
0,4,0.17320508,0.26672686,0.8369744420051575,0.0044953981414437285
0,4,0.26672686,0.41074556,0.8941963911056519,0.00517276069149375
0,4,0.41074556,0.63252691,1.0843880176544192,0.008436691947281359
0,4,0.63252691,0.97405871,1.7994883060455322,0.0278819352388382
0,4,0.97405871,1.5,3.920823574066162,0.20197153091430664
0,5,0.02,0.03079896,0.8023653626441956,0.015136322006583212
0,5,0.03079896,0.04742881,0.79702228307724,0.011661788448691368
0,5,0.04742881,0.07303792,0.7866528630256653,0.008586615324020386
0,5,0.07303792,0.11247461,0.8010352849960327,0.0071704997681081295
0,5,0.11247461,0.17320508,0.8215651512145996,0.006351526360958815
0,5,0.17320508,0.26672686,0.8339463472366333,0.005822278093546629
0,5,0.26672686,0.41074556,0.8450292348861694,0.006001058500260115
0,5,0.41074556,0.63252691,0.9248321056365968,0.008025956340134144
0,5,0.63252691,0.97405871,1.3374347686767578,0.0199753250926733
0,5,0.97405871,1.5,2.488952159881592,0.0990505963563919
0,6,0.02,0.03079896,0.769977867603302,0.017156358808279037
0,6,0.03079896,0.04742881,0.7864433526992798,0.01537516713142395
0,6,0.04742881,0.07303792,0.790074348449707,0.012058427557349205
0,6,0.07303792,0.11247461,0.8056847453117371,0.009339259006083013
0,6,0.11247461,0.17320508,0.8200533986091614,0.008072430267930029
0,6,0.17320508,0.26672686,0.8300530910491943,0.007409595884382725
0,6,0.26672686,0.41074556,0.8374761343002319,0.007281666621565819
0,6,0.41074556,0.63252691,0.8644347190856934,0.008666450157761574
0,6,0.63252691,0.97405871,1.0615190267562866,0.016302956268191338
0,6,0.97405871,1.5,2.0110187530517583,0.07717163860797882
0,7,0.02,0.03079896,0.7889419198036194,0.019584422931075096
0,7,0.03079896,0.04742881,0.7988986968994141,0.018209055066108704
0,7,0.04742881,0.07303792,0.7968566417694092,0.015746112912893295
0,7,0.07303792,0.11247461,0.8438646197319031,0.012871864251792431
0,7,0.11247461,0.17320508,0.7921531200408936,0.009537853300571442
0,7,0.17320508,0.26672686,0.7920717000961304,0.008547630161046982
0,7,0.26672686,0.41074556,0.7925248146057129,0.008348852396011353
0,7,0.41074556,0.63252691,0.8247054219245911,0.009601203724741936
0,7,0.63252691,0.97405871,0.9468783140182496,0.015786783769726753
0,7,0.97405871,1.5,1.7472903728485107,0.07091355323791504
0,8,0.02,0.03079896,0.697336733341217,0.017765337601304054
0,8,0.03079896,0.04742881,0.7163822650909424,0.01669446565210819
0,8,0.04742881,0.07303792,0.7069665193557739,0.015407999046146868
