PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.023,0.0,0.05,0.881,0.005,-0.005,0.025,-0.025
0.073,0.05,0.1,0.901,0.006,-0.006,0.025,-0.025
0.181,0.1,0.3,0.902,0.004,-0.004,0.032,-0.032
0.382,0.3,0.5,0.88,0.008,-0.008,0.026,-0.026
0.585,0.5,0.7,0.881,0.013,-0.013,0.026,-0.026
0.785,0.7,0.9,0.941,0.022,-0.022,0.027,-0.027
0.987,0.9,1.1,0.909,0.031,-0.031,0.026,-0.026
1.221,1.1,1.4,0.923,0.041,-0.041,0.027,-0.027
1.736,1.4,1.95,1.007,0.058,-0.058,0.029,-0.029
